"filename","a_id","headline","body_txt","source_url"
"$H billintroh-250402-hr2615",40434,"Rep. Womack Introduces Stephen Hacala Poppy Seed Safety Act","
WASHINGTON, April 14 -- Rep. Steve Womack, R-AR, introduced the Stephen Hacala Poppy Seed Safety Act on April 2, 2025, aiming to prevent the sale of contaminated poppy seeds in food products. This initiative targets health concerns associated with poppy seeds, which have been linked to several incidents of morphine intoxication, including the tragic case of Stephen Hacala, who died after consuming tainted seeds.

The bill responds to alarming evidence that contaminated poppy seeds have caused numerous health-related tragedies across the United States. Reports have indicated that at least 19 fatalities are attributable to morphine overdoses from poppy seeds, which can be laced with dangerous levels of opiate contaminants. Additionally, some women have faced unjust scrutiny from child welfare officials after testing positive for opiates shortly after childbirth, presumably due to consumption of poppy-seed-laden foods.

To address these issues, the legislation mandates that the Secretary of Health and Human Services develop and enforce contamination thresholds for morphine and other opiate alkaloids found in poppy seeds. This oversight seeks to classify seeds exceeding these contamination levels as adulterated substances, thereby banning them from interstate commerce. 

The urgency of this bill is highlighted by the Department of Defense's advisory to servicemembers to avoid consuming poppy seeds due to the risk of positive drug tests linked to contamination. As public awareness of food safety rises, the Stephen Hacala Poppy Seed Safety Act represents a critical step toward protecting consumers from potentially harmful food products. The bill is now under consideration by the House Committee on Energy and Commerce.

The bill (H.R. 2615) was introduced on [Introduction Date].

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2615/text","https://www.congress.gov/bill/119th-congress/house-bill/2615/text"
"$H billintroh-250402-hr2614",40434,"Rep. Wilson Introduces Maximum Support Act","
WASHINGTON, April 14 -- Rep. Joe Wilson, R-SC, has introduced the Maximum Support Act, aimed at bolstering internet freedom and countering censorship in Iran. This legislation seeks to establish a comprehensive strategy supporting the Iranian people in their pursuit of democracy and human rights while enhancing their access to uncensored internet resources.

The proposed bill outlines several key initiatives to facilitate internet access for Iranian citizens. These measures include the creation of a Virtual Private Network (VPN) service specifically designed for Iranians to bypass government censorship and leverage secure communications. Moreover, the legislation calls for enhanced satellite communications and direct-to-cell technology to ensure consistent access despite the Iranian government's restrictions on technology imports.

Amid ongoing protests against the Iranian regime, this bill seeks to address a growing urgency. Following the violent suppression of civil dissent and media censorship, U.S. lawmakers have recognized the need for more robust support mechanisms for Iran. By providing tools to counteract state-sponsored censorship, the Maximum Support Act aims to empower dissidents and civil society.

The impact of the bill could extend beyond internet access. It intends to confiscate Iranian government assets in the U.S. to fund initiatives promoting democracy, targeting institutions and organizations that undermine human rights. Further, the proposed measure would include rigorous audits to prevent funds from inadvertently benefitting the Iranian regime.

Rep. Wilson's initiative, informed by the experiences of the Iranian people, aligns with U.S. foreign policy goals of promoting democracy and human rights globally. The Maximum Support Act not only seeks to protect Iranian access to information but also represents a significant shift in how the U.S. engages with emerging digital freedoms in authoritarian contexts.

The bill (H.R. 2614) introduced on 04/02/2025 has 1 co-sponsor: Rep. Panetta, Jimmy [D-CA-19]...04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2614/text","https://www.congress.gov/bill/119th-congress/house-bill/2614/text"
"$H billintroh-250402-hr2613",40434,"Rep. Weber Introduces Next Generation Pipelines Research and Development Act","
WASHINGTON, April 14 -- Rep. Randy Weber, R-TX, has introduced the Next Generation Pipelines Research and Development Act, aimed at enhancing public-private partnerships while advancing federal research and development concerning next-generation pipeline systems. The bill seeks to address critical infrastructure needs by promoting innovative technologies and materials within the pipeline industry.

This legislation arises amid increasing concerns about aging pipeline infrastructure and the rising demand for efficient and safe energy transportation systems. By focusing on advanced materials, technologies, and collaborative research initiatives, Weber’s bill intends to enhance the integrity and sustainability of pipeline operations. The ultimate goal is to minimize leaks and environmental impacts while improving energy efficiency and safety standards.

The act proposes a comprehensive framework for research and demonstration projects targeting various aspects of pipeline systems, including advanced leak detection technologies, enhancer materials for corrosion resistance, and autonomous monitoring systems. By leveraging existing infrastructure—and encouraging collaboration among different agencies—the legislation endeavors to create a more resilient pipeline network capable of withstanding future demands and threats.

Additionally, the legislation emphasizes the use of diverse energy sources, including renewable natural gas, hydrogen, and biofuels, promoting a transition toward more sustainable energy practices in the transportation sector. With an authorization of approximately $200 million allocated over the next six years, the initiative seeks not only to modernize existing systems but also to establish a National Pipeline Modernization Center for ongoing research and development.

If passed, this act could significantly reshape how pipeline systems are developed, ensuring they are safer, more efficient, and better equipped to handle the complexity of modern energy demands. The act has been referred to the House Committee on Science, Space, and Technology for further deliberation.

The bill (H.R. 2613) introduced on 04/02/2025 has 1 co-sponsor: Rep. Ross, Deborah K. [D-NC-2]...04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2613/text","https://www.congress.gov/bill/119th-congress/house-bill/2613/text"
"$H billintroh-250402-hr2612",40434,"Rep. Trahan Introduces DELETE Act","
WASHINGTON, April 14 -- Rep. Lori Trahan, D-MA, has introduced the DELETE Act, a landmark legislative measure designed to establish a centralized system enabling individuals to request the simultaneous deletion of their personal information from data brokers. This bill aims to enhance consumer privacy and simplify the increasingly complex landscape of digital data management.

The DELETE Act was introduced in response to growing concerns over privacy violations by data brokers, entities that collect and sell personal information without direct relationships with consumers. With an increasing reliance on digital platforms, individuals have found it difficult to control their personal data, leading to potential misuse and exploitation.

Under the DELETE Act, the Federal Trade Commission (FTC) would be tasked with creating a centralized system that allows users to submit requests for data deletion. This would enable individuals to manage their privacy effectively, ensuring that once a deletion request is made, their personal data is removed from all registered data brokers. By allowing for a single submission to result in widespread data removal, the bill seeks to reduce the complexities and hurdles individuals face in protecting their personal information.

The act also mandates that data brokers register annually with the FTC, providing transparency about their data collection practices and allowing consumers to have clearer insight into how their information is being used. This registration includes a requirement that brokers disclose opt-out options to consumers, allowing them to take an active role in safeguarding their data.

If passed, the DELETE Act could usher in significant changes to data privacy norms in the U.S., offering consumers greater control over their digital footprints while holding data brokers accountable for their practices.

The bill (H.R. 2612) was introduced on 04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2612/text","https://www.congress.gov/bill/119th-congress/house-bill/2612/text"
"$H billintroh-250402-hr2611",40434,"Rep. Torres Introduces HOUTHI PC SMALL GROUP Act","
WASHINGTON, April 14 -- Rep. Ritchie Torres, D-NY, has introduced the HOUTHI PC SMALL GROUP Act of 2025, aimed at strengthening national security by prohibiting the communication of classified information via mobile and desktop messaging applications. This legislative move is in response to growing concerns over the potential misuse of technology that may expose sensitive governmental data.

The bill addresses the increasing vulnerabilities stemming from digital communication tools, where classified information could be inadvertently shared or maliciously leaked. With rapid advancements in technology, security experts have raised alarm over the risks posed by unauthorized transmission of sensitive information through these platforms. By enacting stringent penalties, including fines and imprisonment for violators, the proposed legislation seeks to deter individuals from using insecure channels for classified communications.

This legislative initiative comes at a time when government agencies are enhancing their cybersecurity frameworks in light of numerous high-profile breaches. Enhancing safeguards around classified information is imperative, especially as adversaries become more sophisticated in their tactics of espionage and information theft. The Act would amend Title 18 of the United States Code, explicitly criminalizing the transmission of classified materials via unauthorized messaging applications.

The HOUTHI PC SMALL GROUP Act of 2025 underscores a bipartisan acknowledgment of the pressing need for robust measures to protect national security. As the House Judiciary Committee prepares to review the bill, its passage could significantly impact how federal agencies manage sensitive communications in an increasingly digital landscape. If enacted, this legislation would represent a significant step in securing classified information against modern threats.

The bill (H.R. 2611) was introduced on 04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2611/text","https://www.congress.gov/bill/119th-congress/house-bill/2611/text"
"$H billintroh-250402-hr2609",40434,"Rep. Schneider Introduces PEACE Act","
WASHINGTON, April 14 -- Rep. Bradley Schneider, D-IL, has introduced the PEACE Act, aimed at enhancing training for U.S. diplomatic personnel regarding the Abraham Accords and other normalization agreements with Israel. This legislative initiative, introduced on April 2, 2025, seeks to fortify understanding and implementation of these pivotal agreements to promote peace and stability in the Middle East.

The PEACE Act emerges in a context where U.S. engagement in the region has gained renewed focus following normalization efforts between Israel and several Arab nations. The bill emphasizes the necessity of equipping diplomats with in-depth knowledge about these agreements to effectively navigate and advance diplomatic relations. By proposing comprehensive educational programs at the Foreign Service Institute, the legislation aims to bolster the operational capabilities of U.S. personnel working in related diplomatic spheres.

One of the key components of the PEACE Act is the establishment of an Abraham Accords and Normalization Advisory Board, which will include experts in diplomacy and Middle Eastern studies. This board will provide independent recommendations to shape the curriculum for training relating to these pivotal agreements, ensuring that U.S. diplomats are well-versed in their complexities and implications.

The bill also authorizes fellowships for Foreign Service officers engaging with counterparts in countries that have normalized relations with Israel. This initiative is expected to foster deeper collaborations and understanding, reinforcing U.S. diplomatic efforts in the region.

By mandating a strategic approach to education on the Abraham Accords, the PEACE Act not only aspires to improve training quality but also seeks to enhance the effectiveness of U.S. foreign policy in an increasingly interconnected global landscape. This legislation is part of broader efforts to ensure sustained engagement and peace-building initiatives in the Middle East.

The bill (H.R. 2609) introduced on 04/02/2025 has 3 co-sponsors: Rep. Hamadeh, Abraham [R-AZ-8]...04/02/2025; Rep. Fitzpatrick, Brian K. [R-PA-1]...04/08/2025; Rep. Gottheimer, Josh [D-NJ-5]...04/08/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2609/text","https://www.congress.gov/bill/119th-congress/house-bill/2609/text"
"$H billintroh-250402-hr2608",40434,"Rep. Roy Introduces Endangered Species Act Reform Bill","
WASHINGTON, April 14 -- Rep. Chip Roy, R-TX, has introduced a bill aimed at removing several species from the lists of threatened and endangered species under the Endangered Species Act of 1973. The proposed legislation seeks to revise the classifications of species such as the Arabian oryx, Eld's brow-antlered deer, and Grevy's zebra, asserting that some have recovered sufficiently to warrant their removal from federal protection.

The introduction of this bill comes amid ongoing debates about the effectiveness of the Endangered Species Act. Advocates for the bill argue that certain species have shown substantial population growth and should no longer be classified as endangered, thereby allowing for more flexible management practices. Proponents believe that de-listing these species could foster better land management strategies, particularly in regions where agricultural and developmental interests often conflict with conservation efforts.

The bill’s potential impact extends beyond species reclassification—supporters argue it could serve as a precedent for future reviews of endangered species listings, promoting a more adaptive approach to wildlife management. However, critics raise concerns that such actions could undermine conservation efforts and reverse hard-earned progress in species recovery.

The bill marks a significant step in the current Congress’s focus on natural resource management and could stir significant public and political debate as it is reviewed by the House Committee on Natural Resources. Should it advance, it will likely invoke discussions surrounding biodiversity preservation and the balance between economic development and environmental protection.

This legislative move underscores the contentious landscape of U.S. environmental policy, with implications that could reshape how endangered species are protected in the future.

The bill (H.R. 2608) introduced on 04/02/2025 has 1 co-sponsor: Rep. Pfluger, August [R-TX-11]...04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2608/text","https://www.congress.gov/bill/119th-congress/house-bill/2608/text"
"$H billintroh-250402-hr2606",40434,"Rep. Mace Introduces Stop Importing Terrorism Act","
WASHINGTON, April 14 -- Rep. Nancy Mace, R-SC, has introduced the Stop Importing Terrorism Act, a significant legislative measure aimed at tightening U.S. immigration laws related to terrorism. The bill seeks to amend the Immigration and Nationality Act by repealing specific exceptions that currently allow certain individuals with terrorist connections to enter the country.

The introduction of this bill comes amid growing concerns about national security and the integrity of U.S. border policies. Proponents argue that the existing exceptions undermine efforts to keep potential threats out of the nation. This legislative action seeks to strengthen the criteria under which individuals can be deemed inadmissible based on terrorism-related grounds.

By eliminating this particular exception, the bill intends to close loopholes that have previously allowed individuals with historical ties to terrorism to obtain entry into the United States. This move is poised to have substantial implications not only for U.S. immigration policy but also for international relations and counter-terrorism efforts.

If passed, the legislation would result in the deportation of any individual who was admitted to the U.S. under the now-repealed exception since January 20, 2021. This has raised discussions among lawmakers about the balance between immigration enforcement and ensuring humanitarian protections for those in need.

The Stop Importing Terrorism Act has been referred to the House Committee on the Judiciary, where it will undergo further scrutiny. As the debate unfolds, the bill underscores the ongoing discourse around national security in an increasingly complex global landscape, reflecting both the urgency and challenges of effective immigration policy.

The bill (H.R. 2606) was introduced on 04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2606/text","https://www.congress.gov/bill/119th-congress/house-bill/2606/text"
"$H billintroh-250402-hr2605",40434,"Rep. Luttrell Introduces SAVES Act","
WASHINGTON, April 14 -- Rep. Morgan Luttrell, R-TX, has introduced the Service Dogs Assisting Veterans Act, known as the SAVES Act. This legislation aims to establish a pilot program within the Department of Veterans Affairs (VA) that would provide grants to nonprofit organizations specifically for supplying service dogs to eligible veterans.

The SAVES Act addresses an increasing need among veterans dealing with physical and psychological challenges by facilitating access to trained service dogs. These animals can provide critical support, enhancing their owners' independence and quality of life. With a growing awareness of veterans’ struggles, including PTSD and mobility issues, this initiative is positioned to significantly impact those who have served in the armed forces.

Under this bill, the VA would award grants of up to $2 million to qualified nonprofit entities over a five-year period. These organizations would not only provide service dogs but also offer training and additional support tailored to the unique needs of each veteran. The expected outcome is a more holistic approach to veteran care, integrating emotional support with traditional medical offerings.

The broader context for this legislation comes at a time when veterans' services face funding complexities and treatment gaps. With mental health resources limited in many regions, the SAVES Act proposes a practical solution by harnessing the power of trained service dogs, which have shown to offer emotional and psychological benefits. 

As the bill progresses through Congress, its advocates hope it will bring much-needed resources and support to veterans across the nation, fostering a transformative approach to veteran rehabilitation and care.

The bill (H.R. 2605) introduced on 04/02/2025 has 28 co-sponsors: Rep. McGarvey, Morgan [D-KY-3]...04/02/2025; Rep. Ciscomani, Juan [R-AZ-6]...04/02/2025; Rep. Buchanan, Vern [R-FL-16]...04/02/2025; Del. Norton, Eleanor Holmes [D-DC-At Large]...04/02/2025; Rep. Van Orden, Derrick [R-WI-3]...04/02/2025; Rep. Murphy, Gregory F. [R-NC-3]...04/02/2025; Rep. Davis, Donald G. [D-NC-1]...04/02/2025; Rep. Tenney, Claudia [R-NY-24]...04/02/2025; Rep. Hunt, Wesley [R-TX-38]...04/02/2025; Rep. Valadao, David G. [R-CA-22]...04/02/2025; Rep. Crow, Jason [D-CO-6]...04/02/2025; Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]...04/02/2025; Rep. Rutherford, John H. [R-FL-5]...04/02/2025; Rep. Kiggans, Jennifer A. [R-VA-2]...04/02/2025; Rep. Deluzio, Christopher R. [D-PA-17]...04/02/2025; Rep. Mace, Nancy [R-SC-1]...04/02/2025; Rep. Miller-Meeks, Mariannette [R-IA-1]...04/02/2025; Rep. Cohen, Steve [D-TN-9]...04/02/2025; Rep. Lawler, Michael [R-NY-17]...04/02/2025; Rep. Rulli, Michael A. [R-OH-6]...04/02/2025; Rep. Stauber, Pete [R-MN-8]...04/02/2025; Rep. Goldman, Craig [R-TX-12]...04/02/2025; Rep. Pfluger, August [R-TX-11]...04/02/2025; Del. King-Hinds, Kimberlyn [R-MP-At Large]...04/02/2025; Rep. LaLota, Nick [R-NY-1]...04/02/2025; Rep. Vindman, Eugene [D-VA-7]...04/07/2025; Rep. Barrett, Tom [R-MI-7]...04/10/2025; Rep. Conaway, Herbert [D-NJ-3]...04/10/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2605/text","https://www.congress.gov/bill/119th-congress/house-bill/2605/text"
"$H billintroh-250402-hr2604",40434,"Rep. Lieu Introduces Protecting Data at the Border Act","
WASHINGTON, April 14 -- Rep. Ted Lieu, D-CA, recently introduced the Protecting Data at the Border Act, a significant piece of legislation aimed at safeguarding the digital privacy of individuals as they enter and exit the United States. This bill seeks to establish clear legal protections against warrantless searches of electronic devices and online accounts at the nation’s borders.

The impetus for this legislation stems from growing concerns over the intrusion of personal privacy in the digital age. With the Supreme Court's recognition of digital privacy in its 2014 ruling in *Riley v. California*, the act underscores the importance of requiring government agencies to obtain a warrant based on probable cause before accessing the digital contents of devices or accounts. This legislative effort addresses a rising trend where border officials have increasingly accessed personal devices without stringent legal standards.

If enacted, the Protecting Data at the Border Act would prohibit U.S. government entities from accessing the digital content of electronic equipment without a valid warrant, significantly enhancing the Fourth Amendment rights of U.S. citizens. The legislation also outlines specific procedures for government access during emergency situations, ensuring checks and balances are in place to prevent abuse of power.

The bill is designed not only to enhance privacy protections but also to restore public confidence in border security practices. As global travel resumes post-pandemic, the impact of this legislation could redefine how personal data is treated at borders, establishing a precedent for digital rights amidst evolving technology. The introduction of this bill reflects a broader conversation about balancing national security interests with individuals' rights to privacy in the digital realm. 

Rep. Lieu’s legislation has been referred to the Judiciary and Homeland Security Committees for further consideration.

The bill (H.R. 2604) introduced on 04/02/2025 has 3 co-sponsors: Rep. Beyer, Donald S. [D-VA-8]...04/02/2025; Del. Norton, Eleanor Holmes [D-DC-At Large]...04/02/2025; Rep. Espaillat, Adriano [D-NY-13]...04/02/2025.

* * # * * 

Primary source of information: https://www.congress.gov/bill/119th-congress/house-bill/2604/text","https://www.congress.gov/bill/119th-congress/house-bill/2604/text"
